"","lat","lng","name","chem"
"242",34.717781,-77.342919,"MCIEAST-MCB CAMLEJ MAIN FACILITY","DIBUTYL PHTHALATE"
"243",41.16408,-104.82539,"US DOD USAF WYOMING ANG","TOLUENE"
"244",37.069999,-76.358611,"U.S. DOD, USAF, JOINT BASE LANGLEY EUSTIS - LANGLEY AFB","NAPHTHALENE"
"245",34.280583,-92.060056,"US ARMY PINE BLUFF ARSENAL","PHOSPHORUS (YELLOW OR WHITE)"
"246",41.127622,-112.02051,"US DOD USAF HILL AFB","XYLENE (MIXED ISOMERS)"
"247",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","LEAD COMPOUNDS"
"248",34.675387,-79.723658,"FCI BENNETTSVILLE","LEAD"
"249",31.337222,-85.733889,"US ARMY AVIATION CENTER OF EXCELLENCE & FT RUCKER FIRING RNG","NITROGLYCERIN"
"250",41.127622,-112.02051,"US DOD USAF HILL AFB","DICHLOROMETHANE"
"251",34.9,-76.8917,"U.S. MARINE CORPS CHERRY POINT AIR STATION","NAPHTHALENE"
"252",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","LEAD COMPOUNDS"
"253",32.698333,-117.209444,"U.S. NAVAL AIR STATION NORTH ISLAND","DICHLOROMETHANE"
"254",48.999227,-119.462761,"US CBP OROVILLE PORT OF ENTRY WA0021","LEAD"
"255",34.369212,-92.113617,"NATIONAL CTR FOR TOXICOLOGICAL RESEARCH","MIXTURE"
"256",21.348472,-157.944147,"JOINT BASE PEARL HARBOR-HICKAM HAWAII","NITRATE COMPOUNDS"
"257",39.47491,-118.77797,"US NAVAL AIR STATION FALLON BRAVO 20","LEAD"
"258",36.3163,-86.3974,"US TVA GALLATIN FOSSIL PLANT","MERCURY COMPOUNDS"
"259",41.110433,-95.91529,"US AIR FORCE OFFUTT AFB NE","NAPHTHALENE"
"260",48.344219,-122.6637,"US NAVY NAS WHIDBEY ISLAND AULT FIELD","MERCURY"
"261",63.900543,-145.726776,"US ARMY DONNELLY TRAINING AREA","LEAD COMPOUNDS"
"262",41.39407,-73.95932,"US MILITARY ACADEMY WEST POINT","LEAD COMPOUNDS"
